NOM_AH,CategId,CATEGORIA,LandAkm2,Count,Coverkm2,Radiuskm,WMORadkm,WMOCheckRd
Amazonas,AM,Agrometeorológica,343640.934704055,5,68728.186940811,147.9082869982201,75.0,0
Amazonas,CO,Climática Ordinaria,343640.934704055,25,13745.6373881622,66.14659683271368,25.0,0
Amazonas,CP,Climática Principal,343640.934704055,16,21477.55841900344,82.6832460408921,75.0,0
Amazonas,LG,Limnigráfica,343640.934704055,26,13216.95902707904,64.86207461687727,999999.0,1
Amazonas,LM,Limnimétrica,343640.934704055,91,3776.2740077368685,34.67023723024591,999999.0,1
Amazonas,ME,Meteorológica Especial,343640.934704055,1,343640.934704055,330.7329841635684,12.5,0
Amazonas,PG,Pluviográfica,343640.934704055,5,68728.186940811,147.9082869982201,12.5,0
Amazonas,PM,Pluviométrica,343640.934704055,86,3995.8248221401745,35.663854872206464,12.5,0
Amazonas,RS,Radio Sonda,343640.934704055,2,171820.4673520275,233.86353586412227,999999.0,1
Amazonas,SP,Sinóptica Principal,343640.934704055,2,171820.4673520275,233.86353586412227,500.0,1
Amazonas,SS,Sinóptica Secundaria,343640.934704055,1,343640.934704055,330.7329841635684,500.0,1
Caribe,AB,AB,105793.3379089333,1,105793.3379089333,183.5076710897827,999999.0,1
Caribe,AM,Agrometeorológica,105793.3379089333,11,9617.576173539392,55.329644650614384,75.0,1
Caribe,CO,Climática Ordinaria,105793.3379089333,91,1162.564152845421,19.236830902557234,25.0,1
Caribe,CP,Climática Principal,105793.3379089333,73,1449.223806971689,21.47794834363837,75.0,1
Caribe,LG,Limnigráfica,105793.3379089333,113,936.2242292825956,17.262949570263192,999999.0,1
Caribe,LM,Limnimétrica,105793.3379089333,182,581.2820764227105,13.602493579737153,999999.0,1
Caribe,MG,Mareográfica,105793.3379089333,18,5877.407661607405,43.25317287577864,999999.0,1
Caribe,ME,Meteorológica Especial,105793.3379089333,8,13224.167238616663,64.87975931366796,12.5,0
Caribe,PG,Pluviográfica,105793.3379089333,50,2115.8667581786663,25.951903725467183,12.5,0
Caribe,PM,Pluviométrica,105793.3379089333,368,287.4818964916666,9.56599862806611,12.5,1
Caribe,RS,Radio Sonda,105793.3379089333,3,35264.44596964443,105.94820330204735,999999.0,1
Caribe,SP,Sinóptica Principal,105793.3379089333,9,11754.81532321481,61.16922369659423,500.0,1
Caribe,SS,Sinóptica Secundaria,105793.3379089333,2,52896.66895446665,129.75951862733592,500.0,1
Magdalena Cauca,AB,AB,276926.850134169,5,55385.3700268338,132.7769212984267,999999.0,1
Magdalena Cauca,AM,Agrometeorológica,276926.850134169,41,6754.313417906561,46.36771220691708,75.0,1
Magdalena Cauca,CO,Climática Ordinaria,276926.850134169,638,434.05462403474763,11.754313164708885,25.0,1
Magdalena Cauca,CP,Climática Principal,276926.850134169,519,533.5777459232543,13.032385490578257,75.0,1
Magdalena Cauca,HM,HM,276926.850134169,6,46154.4750223615,121.20819151872739,999999.0,1
Magdalena Cauca,LG,Limnigráfica,276926.850134169,770,359.6452599145052,10.699469227486285,999999.0,1
Magdalena Cauca,LM,Limnimétrica,276926.850134169,1255,220.6588447284215,8.380804958412444,999999.0,1
Magdalena Cauca,MG,Mareográfica,276926.850134169,3,92308.950044723,171.41426831649983,999999.0,1
Magdalena Cauca,ME,Meteorológica Especial,276926.850134169,120,2307.7237511180747,27.10297556656879,12.5,0
Magdalena Cauca,PG,Pluviográfica,276926.850134169,472,586.709428250358,13.665848357468642,12.5,0
Magdalena Cauca,PM,Pluviométrica,276926.850134169,2624,105.53614715479002,5.795964025864635,12.5,1
Magdalena Cauca,RS,Radio Sonda,276926.850134169,6,46154.4750223615,121.20819151872739,999999.0,1
Magdalena Cauca,SP,Sinóptica Principal,276926.850134169,18,15384.825007453832,69.97958200132497,500.0,1
Magdalena Cauca,SS,Sinóptica Secundaria,276926.850134169,8,34615.85626677112,104.96937300198746,500.0,1
Orinoco,AM,Agrometeorológica,350313.709100446,11,31846.700827313274,100.68326432764941,75.0,0
Orinoco,CO,Climática Ordinaria,350313.709100446,70,5004.481558577801,39.91210286767385,25.0,0
Orinoco,CP,Climática Principal,350313.709100446,62,5650.221114523323,42.408975935256564,75.0,1
Orinoco,LG,Limnigráfica,350313.709100446,93,3766.814076348882,34.62678385178319,999999.0,1
Orinoco,LM,Limnimétrica,350313.709100446,265,1321.9385249073434,20.513071476627402,999999.0,1
Orinoco,ME,Meteorológica Especial,350313.709100446,25,14012.54836401784,66.78572208859751,12.5,0
Orinoco,PG,Pluviográfica,350313.709100446,56,6255.60194822225,44.62308756854151,12.5,0
Orinoco,PM,Pluviométrica,350313.709100446,286,1224.8731087428182,19.745612673034795,12.5,0
Orinoco,RS,Radio Sonda,350313.709100446,2,175156.854550223,236.12318487643745,999999.0,1
Orinoco,SP,Sinóptica Principal,350313.709100446,4,87578.4272751115,166.96430522149376,500.0,1
Orinoco,SS,Sinóptica Secundaria,350313.709100446,1,350313.709100446,333.9286104429875,500.0,1
Pacifico,AB,AB,77857.8673076962,1,77857.8673076962,157.4259472934035,999999.0,1
Pacifico,AM,Agrometeorológica,77857.8673076962,3,25952.622435898735,90.88991304727834,75.0,0
Pacifico,CO,Climática Ordinaria,77857.8673076962,63,1235.8391636142253,19.83380506890988,25.0,1
Pacifico,CP,Climática Principal,77857.8673076962,47,1656.5503682488554,22.962934463500297,75.0,1
Pacifico,LG,Limnigráfica,77857.8673076962,96,811.0194511218355,16.067218464296545,999999.0,1
Pacifico,LM,Limnimétrica,77857.8673076962,21,3707.517490842676,34.35315808676904,999999.0,1
Pacifico,MG,Mareográfica,77857.8673076962,1,77857.8673076962,157.4259472934035,999999.0,1
Pacifico,ME,Meteorológica Especial,77857.8673076962,11,7077.987937063291,47.46570903986223,12.5,0
Pacifico,PG,Pluviográfica,77857.8673076962,28,2780.638118132007,29.750707603364816,12.5,0
Pacifico,PM,Pluviométrica,77857.8673076962,194,401.32921292626907,11.302524323742507,12.5,1
Pacifico,RS,Radio Sonda,77857.8673076962,1,77857.8673076962,157.4259472934035,999999.0,1
Pacifico,SP,Sinóptica Principal,77857.8673076962,2,38928.9336538481,111.31695486588163,500.0,1
Pacifico,SS,Sinóptica Secundaria,77857.8673076962,1,77857.8673076962,157.4259472934035,500.0,1
