SUBZONA_HIDROGRAFICA,Activa,En Mantenimiento,Suspendida
Alto Atrato,5.0,,6.0
Alto Caqueta,20.0,,12.0
Alto Cesar,12.0,,18.0
Alto Guaviare,5.0,,5.0
Alto Magdalena,22.0,,5.0
Alto Nechí,10.0,,9.0
Alto Río Cauca,19.0,,11.0
Alto Río Putumayo,24.0,,23.0
Alto Río Tomo,1.0,,1.0
Alto Saldaña,8.0,,6.0
Alto San Jorge,9.0,,1.0
Alto Sinú - Urrá,,,22.0
Arroyos Directos al Caribe,14.0,,5.0
Bajo Catatumbo,3.0,,2.0
Bajo Cesar,24.0,,7.0
Bajo Guaviare,9.0,,3.0
Bajo Nechí (md),8.0,,15.0
Bajo Río Apaporis,,,1.0
Bajo Río Tomo,2.0,,
Bajo Saldaña,7.0,,8.0
Bajo San Jorge - La Mojana,81.0,,58.0
Bajo Sinú,43.0,,52.0
Bajo Vaupés,14.0,,2.0
Bajo Vichada,2.0,,1.0
Canal del Dique margen derecho,21.0,,25.0
Canal del Dique margen izquierda,39.0,,48.0
Caño Guanápalo y otros directos al Meta,6.0,,5.0
Caño Lioni o Terecay,1.0,,1.0
Caño Matavén,2.0,,1.0
Cga Grande de Santa Marta,40.0,,31.0
Dagua - Buenaventura - Bahia Málaga,12.0,,3.0
Directos Atrato entre ríos Bebaramá y Murrí (md),3.0,,1.0
Directos Atrato entre ríos Quito y Bojayá (mi),5.0,,1.0
Directos Bajo Atrato entre río Sucio y desembocadura,1.0,,1.0
Directos Bajo Cauca - Cga La Raya entre río Nechí,4.0,,1.0
Directos Bajo Magdalena entre El Banco y El Plato,39.0,,29.0
Directos Bajo Meta entre ríos Casanare y Orinoco,11.0,,1.0
Directos Caribe - Ay.Sharimahana Alta Guajira,12.0,1.0,10.0
Directos Caribe Golfo de Morrosquillo,12.0,,6.0
Directos Magdalena Medio entre ríos La Miel y Nare,3.0,,2.0
Directos Magdalena entre Ríos Guarinó y La Miel,1.0,,4.0
Directos Magdalena entre ríos Cabrera y Sumapaz,5.0,,4.0
Directos Orinoco entre ríos Tomo y Meta (mi),1.0,1.0,2.0
Directos Pacifico Frontera Panamá,7.0,,4.0
Directos Rio Metica entre ríos Guayuriba y Yucao,4.0,,1.0
Directos Río Amazonas (mi),8.0,,6.0
Directos Río Arauca (md),4.0,,3.0
Directos Río Cauca  entre Río San Juan y  Pto Valdivia,19.0,,17.0
Directos Río Cauca entre Río San Juan y Pto Valdia,15.0,,12.0
Directos al Bajo Magdalena entre Calamar y desembocadura,13.0,,6.0
Directos al Bajo Magdalena entre El Plato y Calamar,9.0,,4.0
Directos al Bajo Nechí (mi),6.0,,1.0
Directos al Cauca entre Pto Valdivia y Río Nechí,5.0,,7.0
Directos al Magdalena (Brazo Morales),9.0,,12.0
Directos al Magdalena Medio entre ríos Negro,5.0,,5.0
Directos al Magdalena entre Ríos Seco y Negro (md),3.0,,1.0
Directos al Meta entre ríos Cusiana y Cravo Sur,,,1.0
Directos al Río Meta entre ríos Cusiana y Carare,6.0,,5.0
Directos al Río Meta entre ríos Humea y Upia (mi),4.0,,3.0
Directos al Río Meta entre ríos Pauto y Carare,2.0,,2.0
Juncal y otros Rios directos al Magdalena,5.0,,8.0
Lago de Tota,16.0,,3.0
Medio Cesar,34.0,,33.0
Medio Guaviare,8.0,,7.0
Medio Saldaña,5.0,,
Medio Sinú,13.0,,16.0
Providencia,6.0,,2.0
Quebrada El Carmen y Otros Directos al Magdalena,11.0,,9.0
"R._Inírida_(mi),_hasta_bocas_Caño_Bocón,_y_R._Las Viñas",2.0,,
Rio Banadia y otros Directos al Río Arauca,3.0,,12.0
Rio Canalete y otros Arroyos Directos al Caribe,5.0,,
Rio Fortalecillas y otros,21.0,,26.0
Rio Guachaca - Mendiguaca y Buritaca,6.0,,4.0
Rio Metica (Guamal - Humadea),10.0,1.0,9.0
Rio Neiva,8.0,,8.0
Rio Salado y otros directos Cauca,10.0,1.0,2.0
Rio Tapias y otros directos al Cauca,7.0,,7.0
Rios Arroyohondo - Yumbo - Mulalo - Vijes - Yotoco,2.0,,
Rios Las Cañas - Los Micos y Obando,6.0,,
Rios Pescador - RUT - Chanco - Catarina y Cañaveral,8.0,,21.0
Rió San Bartolo y otros directos al Magdalena Medio,13.0,,8.0
Roncador y Quitasueño,,,1.0
Río  Piedras - Río Manzanares,12.0,,12.0
"Río Aipe, Río Chenche y otros directos al Magdalena",14.0,,4.0
Río Algodonal (Alto Catatumbo),18.0,,33.0
Río Amoyá,5.0,,3.0
Río Anchicayá,1.0,,
Río Ancho y Otros Directos al caribe,6.0,,5.0
Río Andágueda,4.0,,
Río Ariari,15.0,,19.0
Río Ariguaní,18.0,,21.0
Río Ariporo,6.0,,
Río Arma,14.0,,2.0
Río Atá,8.0,,1.0
Río Baché,9.0,1.0,10.0
Río Baudó,3.0,,1.0
Río Bebaramá y otros Directos Atrato (md),2.0,,
Río Bogotá,79.0,,58.0
Río Bojabá,,,1.0
Río Bojayá,,,1.0
Río Bugalagrande,5.0,,
Río Cabi y otros Directos Atrato (md),7.0,,1.0
Río Cabrera,14.0,,8.0
Río Caguan Alto,3.0,,
Río Caguan Bajo,2.0,,1.0
Río Cajón,1.0,,
Río Camarones y otros directos Caribe,2.0,,2.0
Río Capoma y otros directos al San Juan,1.0,,1.0
Río Caqueta Bajo,13.0,1.0,7.0
Río Caqueta Medio,7.0,,2.0
Río Carare (Minero),23.0,,13.0
"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",15.0,,16.0
Río Cará-Paraná,1.0,,1.0
Río Casanare,10.0,,4.0
Río Chicamocha,114.0,1.0,44.0
Río Chinchiná,23.0,,6.0
Río Chítaga,11.0,,6.0
Río Cimitarra y otros directos al Magdalena,3.0,,13.0
Río Cobugón - Río Cobaría,3.0,,2.0
Río Coello,31.0,,22.0
Río Cotuhe,2.0,,
Río Cravo Norte,1.0,,
Río Cravo Sur,10.0,,3.0
Río Cusiana,16.0,,7.0
Río Cuñare,1.0,,
Río Desbaratado,2.0,,1.0
Río Docampadó y Directos Pacífico,1.0,,3.0
Río Don Diego,,,1.0
Río Fonce,18.0,,8.0
Río Frío,2.0,,1.0
Río Frío y Otros Directos al Cauca,11.0,,11.0
Río Garagoa,38.0,,23.0
Río Guacavía,3.0,,
Río Guachal (Bolo - Fraile y Párraga),10.0,,5.0
Río Guachicono,16.0,,4.0
Río Gualí,8.0,,9.0
Río Guape,1.0,,
Río Guapi,3.0,,2.0
Río Guarinó,8.0,,1.0
Río Guatiquía,18.0,,8.0
Río Guavio,25.0,,12.0
Río Guayabero,4.0,,2.0
Río Guayas,3.0,1.0,5.0
Río Guayuriba,30.0,,11.0
Río Guejar,9.0,,
Río Guáitara,29.0,,5.0
Río Humea,4.0,,5.0
Río Igará-Paraná,2.0,,
Río Inírida Alto,1.0,,
Río Juananbú,25.0,,7.0
Río La Miel (Samaná),9.0,,3.0
Río La Vieja,23.0,1.0,7.0
Río Lagunilla y Otros Directos al Magdalena,23.0,,32.0
Río Lebrija y otros directos al Magdalena,61.0,1.0,86.0
Río Lengupá,19.0,,6.0
Río León,17.0,,18.0
Río Luisa y otros directos al Magdalena,9.0,,6.0
Río Manacacias,4.0,,4.0
Río Margua,4.0,,
Río Mayo,3.0,,3.0
Río Melúa,,1.0,1.0
Río Mesay,,,1.0
Río Mira,11.0,,4.0
Río Muco,1.0,,
Río Mulatos y otros directos al Caribe,7.0,,7.0
Río Murindó - Directos al Atrato,,,3.0
Río Murrí,4.0,,4.0
Río Napipí - Río Opogadó,1.0,,
Río Nare,31.0,,20.0
Río Naya - Yurumanguí,2.0,,
Río Negro,26.0,2.0,12.0
"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu)",13.0,,9.0
Río Opía,3.0,,
Río Opón,11.0,,6.0
Río Orteguaza,17.0,1.0,8.0
Río Otún y otros directos al Cauca,25.0,,27.0
Río Ovejas,6.0,,1.0
Río Paila,5.0,,
Río Palacé,9.0,,3.0
Río Palo,7.0,,10.0
Río Pamplonita,21.0,,11.0
Río Patia Alto,24.0,,9.0
Río Patia Bajo,3.0,,
Río Patia Medio,5.0,,3.0
Río Pauto,9.0,,1.0
Río Pescado,4.0,,2.0
Río Piendamo,6.0,,4.0
Río Porce,28.0,,13.0
Río Prado,17.0,,6.0
Río Putumayo Bajo,6.0,,3.0
Río Putumayo Directos (mi),6.0,,2.0
Río Putumayo Medio,4.0,,4.0
Río Páez,27.0,,16.0
Río Querary,1.0,,
Río Quinamayo y otros directos al Cauca,9.0,,2.0
Río Quito,9.0,,1.0
Río Ranchería,52.0,,36.0
Río Risaralda,14.0,,7.0
Río Rosario,4.0,,3.0
Río Saija,2.0,,1.0
Río Salaquí  y otros directos Bajo Atrato,1.0,,5.0
Río San Juan,10.0,,8.0
Río San Juan (Frontera Ecuador),1.0,,
Río San Juan Alto,5.0,,1.0
Río San Juan Medio,2.0,,1.0
Río San Juan del Micay,9.0,,7.0
Río San_Miguel,2.0,,
Río Seco y otros Directos al Magdalena,9.0,,1.0
Río Sipí,5.0,,2.0
Río Socuavo del Norte y Río Socuavo Sur,1.0,,
Río Sogamoso,12.0,,13.0
Río Suaza,6.0,,5.0
Río Sucio,13.0,,9.0
Río Sumapaz,23.0,,12.0
Río Suárez,60.0,,45.0
Río Tamaná y otros Directos San Juan,10.0,,4.0
Río Tanela y otros Directos al Caribe,2.0,,3.0
Río Tapaje,2.0,,
Río Tapias,2.0,,4.0
Río Taraza - Río Man,7.0,,7.0
Río Tarra,2.0,,5.0
Río Telembí,5.0,1.0,
"Río Tetuán, Río Ortega",7.0,,1.0
Río Timaná y otros directos al Magdalena,5.0,,4.0
Río Timba,2.0,,1.0
Río Timbiquí,1.0,,
Río Tolo y otros Directos al Caribe,4.0,,1.0
Río Totare,10.0,,10.0
Río Tuparro,4.0,,2.0
Río Túa y otros directos al Meta,9.0,,2.0
Río Upía,6.0,,4.0
Río Vita,,,1.0
Río Yaguará y Río Iquira,12.0,1.0,12.0
Río Yucao,3.0,,
Río Zulia,27.0,,51.0
Río del Suroeste y directos Río de Oro,,,1.0
Ríos Amaime y Cerrito,6.0,,2.0
Ríos Cajambre - Mayorquín - Raposo,2.0,,
Ríos Cali,3.0,,1.0
Ríos Calima y  Bajo San Juan,9.0,,1.0
Ríos Chimicuica y Corozal,8.0,,1.0
Ríos Claro y Jamundí,5.0,,3.0
Ríos Directos al Magdalena (mi),10.0,,5.0
"Ríos Guabas,Sabaletas y Sonso",2.0,,1.0
Ríos Guadalajara y San Pedro,1.0,,2.0
"Ríos Lilí, Melendez y Canaveralejo",3.0,,1.0
Ríos Tulua y Morales,7.0,1.0,4.0
Ríos directos Magdalena (md),8.0,,5.0
Rïo Cucuana,8.0,,6.0
San Andres,8.0,,4.0
